@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
40,673,3,2,2012,0.000993,0.995562,0.997037,0.995562,0.002963,0.996299,0.250929,3.967499,0.56
41,672,4,2,2012,0.000993,0.994083,0.997033,0.994083,0.002967,0.995556,0.250558,3.967482,0.58
42,670,6,2,2012,0.000993,0.991124,0.997024,0.991124,0.002976,0.994065,0.249814,3.967447,0.63
43,669,7,2,2012,0.000993,0.989645,0.997019,0.989645,0.002981,0.993318,0.249442,3.967429,0.64
44,669,7,1,2013,0.000497,0.989645,0.998507,0.989645,0.001493,0.994056,0.249071,3.973351,0.7
45,668,8,0,2014,0,0.988166,1,0.988166,0,0.994048,0.248327,3.97929,0.72
46,667,9,0,2014,0,0.986686,1,0.986686,0,0.993299,0.247955,3.97929,0.73
47,664,12,0,2014,0,0.982249,1,0.982249,0,0.991045,0.24684,3.97929,0.74
48,663,13,0,2014,0,0.980769,1,0.980769,0,0.990291,0.246468,3.97929,0.77
49,659,17,0,2014,0,0.974852,1,0.974852,0,0.987266,0.244981,3.97929,0.78
50,658,18,0,2014,0,0.973373,1,0.973373,0,0.986507,0.24461,3.97929,0.79
51,654,22,0,2014,0,0.967456,1,0.967456,0,0.983459,0.243123,3.97929,0.8
52,652,24,0,2014,0,0.964497,1,0.964497,0,0.981928,0.242379,3.97929,0.81
53,649,27,0,2014,0,0.960059,1,0.960059,0,0.979623,0.241264,3.97929,0.82
54,648,28,0,2014,0,0.95858,1,0.95858,0,0.978852,0.240892,3.97929,0.83
55,647,29,0,2014,0,0.957101,1,0.957101,0,0.97808,0.24052,3.97929,0.84
56,645,31,0,2014,0,0.954142,1,0.954142,0,0.976533,0.239777,3.97929,0.85
57,642,34,0,2014,0,0.949704,1,0.949704,0,0.974203,0.238662,3.97929,0.86
58,636,40,0,2014,0,0.940828,1,0.940828,0,0.969512,0.236431,3.97929,0.87
59,628,48,0,2014,0,0.928994,1,0.928994,0,0.96319,0.233457,3.97929,0.88
60,626,50,0,2014,0,0.926036,1,0.926036,0,0.961598,0.232714,3.97929,0.89
61,620,56,0,2014,0,0.91716,1,0.91716,0,0.95679,0.230483,3.97929,0.9
62,611,65,0,2014,0,0.903846,1,0.903846,0,0.949495,0.227138,3.97929,0.91
63,603,73,0,2014,0,0.892012,1,0.892012,0,0.942924,0.224164,3.97929,0.92
64,596,80,0,2014,0,0.881657,1,0.881657,0,0.937107,0.221561,3.97929,0.93
65,580,96,0,2014,0,0.857988,1,0.857988,0,0.923567,0.215613,3.97929,0.94
66,560,116,0,2014,0,0.828402,1,0.828402,0,0.906149,0.208178,3.97929,0.95
67,539,137,0,2014,0,0.797337,1,0.797337,0,0.887243,0.200372,3.97929,0.96
68,516,160,0,2014,0,0.763314,1,0.763314,0,0.865772,0.191822,3.97929,0.97
69,484,192,0,2014,0,0.715976,1,0.715976,0,0.834483,0.179926,3.97929,0.98
70,426,250,0,2014,0,0.630178,1,0.630178,0,0.77314,0.158364,3.97929,0.99
71,336,340,0,2014,0,0.497041,1,0.497041,0,0.664032,0.124907,3.97929,1
72,0,676,0,2014,0,0,?,0,?,?,0,?,1.00001
